step,avg_reward
1024,28.833333349999997
2048,44.566666700000006
3072,42.10000004999999
4096,52.066666700000006
5120,76.70000005
6144,97.70000005
7168,134.8333334
8192,161.03333345
9216,188.20000015
10240,196.93333355000001
11264,213.20000025000004
12288,183.46666685000002
13312,183.2000002
14336,195.0000002
15360,200.5666669
16384,151.03333349999997
17408,141.86666680000002
18432,122.20000009999998
19456,125.23333344999999
20480,155.76666685
21504,178.66666685
22528,202.93333355
23552,207.93333355
24576,229.96666690000006
25600,249.10000025000005
26624,256.13333360000007
27648,243.50000025000003
28672,228.6000002
29696,228.60000020000007
30720,237.46666690000006
31744,225.90000020000002
32768,215.33333355
33792,217.23333355000005
34816,220.03333360000005
35840,216.76666690000002
36864,216.76666690000002
37888,228.33333360000006
38912,219.3666669
39936,219.36666690000007
40960,206.5000002
41984,212.33333350000004
43008,215.6000002
44032,207.33333349999998
45056,207.70000020000003
46080,217.33333355
47104,217.33333355
48128,232.50000025000003
49152,247.2000003000001
50176,234.7666669500001
51200,243.0333336500001
52224,250.13333365000008
53248,250.13333365000008
54272,250.13333365000008
55296,238.10000030000006
56320,238.10000030000006
57344,248.06666695000004
58368,224.80000025000004
59392,218.06666690000003
60416,218.06666690000003
61440,230.10000025000005
62464,230.10000025000005
63488,230.10000025000005
64512,221.56666695000007
65536,244.83333365000007
66560,244.83333365000007
67584,255.6666670000001
68608,255.6666670000001
69632,255.6666670000001
70656,246.3666670000001
71680,246.3666670000001
72704,247.0666670000001
73728,247.0666670000001
74752,247.0666670000001
75776,247.0666670000001
76800,247.0666670000001
77824,247.0666670000001
78848,243.50000030000007
79872,243.50000030000007
80896,253.8000003000001
81920,253.8000003000001
82944,253.8000003000001
83968,253.8000003000001
84992,253.8000003000001
86016,253.8000003000001
87040,266.6666670000001
88064,254.40000030000004
89088,254.4000003000001
90112,254.4000003000001
91136,254.4000003000001
92160,254.4000003000001
93184,254.4000003000001
94208,254.4000003000001
95232,254.4000003000001
96256,266.6666670000001
97280,266.6666670000001
98304,266.6666670000001
99328,266.6666670000001
100352,266.6666670000001
