update,step,avg_reward,value_loss,policy_loss
1,1024,27.966666666666676,23.10767605304718,-0.008506347122602165
2,2048,45.63333333333333,30.145270013809203,-0.00800181501545012
3,3072,61.39999999999999,33.11225142478943,-0.012119432701729238
4,4096,74.39999999999995,35.88112835884094,-0.007351179094985128
5,5120,101.79999999999983,32.25333824157715,-0.010281868814490735
6,6144,128.49999999999963,33.12965469360351,-0.009267188422381879
7,7168,127.36666666666629,30.942366123199463,-0.011819962924346328
8,8192,127.49999999999957,29.376763677597047,-0.008917380589991808
9,9216,142.26666666666617,29.717804384231567,-0.003929121384862811
10,10240,132.9999999999996,28.71756520271301,-0.016230989410541952
11,11264,141.29999999999956,27.88739857673645,-0.00472809198545292
12,12288,152.89999999999952,27.228924655914305,-0.004911922186147421
13,13312,167.49999999999946,26.409104299545287,-0.00475124612567015
14,14336,189.0999999999993,25.780230140686037,-0.00943072650115937
15,15360,188.79999999999933,24.70648694038391,-0.004835485899820924
16,16384,181.13333333333273,26.37469615936279,-0.0028933379682712255
17,17408,171.06666666666615,24.54130940437317,-0.0016023003438021988
18,18432,171.26666666666623,24.033945083618164,-0.0038586166221648453
19,19456,137.99999999999972,26.539740228652953,-0.0017398547439370303
20,20480,142.33333333333306,22.53865704536438,-0.0037611501989886164
21,21504,168.5999999999995,22.385031318664552,-0.002195794600993395
22,22528,181.4999999999994,22.08719844818115,-0.006118238810449839
23,23552,186.79999999999936,22.046470355987548,-0.010039491264615208
24,24576,189.99999999999932,22.334274530410767,-0.0028706072829663754
25,25600,196.49999999999926,25.062541818618776,-0.002957898541353643
26,26624,217.63333333333247,21.899165391921997,-0.004524251364637166
27,27648,224.3999999999991,18.64624626636505,-0.0017099575139582156
28,28672,224.3999999999991,20.426315021514892,-0.001983298361301422
29,29696,220.66666666666575,26.314147090911867,-0.0012998947058804333
30,30720,209.36666666666582,27.691308736801147,-0.006997578416485339
31,31744,220.4999999999991,23.013006711006163,-0.005347011075355112
32,32768,224.3666666666657,18.37522163391113,-0.005992547422647476
33,33792,213.66666666666578,29.01061615943909,5.964834708720446e-05
34,34816,213.66666666666578,18.53284969329834,-0.0030231158481910823
35,35840,211.9666666666658,24.739873027801515,-0.0018636195687577128
36,36864,229.8333333333324,25.125089740753175,-0.0037326190737076103
37,37888,233.6666666666657,25.64651503562927,-0.001989821088500321
38,38912,239.099999999999,25.989892196655273,-0.0034354262868873777
