update,step,avg_reward,value_loss,policy_loss
1,1024,34.49122807017543,21.200639152526854,-0.010281232534907758
2,2048,40.666666666666664,25.7492835521698,-0.005281430506147444
3,3072,43.66666666666666,27.076108121871947,-0.011342329997569322
4,4096,60.366666666666696,32.79345178604126,-0.004117992054671049
5,5120,75.46666666666658,32.763921689987185,-0.008512359205633402
6,6144,107.03333333333319,33.50599484443664,-0.011281138588674366
7,7168,125.43333333333312,31.968643379211425,-0.00727028523106128
8,8192,137.79999999999967,31.557058668136598,-0.0024881021701730786
9,9216,150.5666666666663,30.464085578918457,-0.005972337420098483
10,10240,175.73333333333284,29.570914554595948,-0.0065610547200776635
11,11264,195.6333333333327,28.62560887336731,-0.0029272269573993983
12,12288,211.03333333333256,27.70262031555176,-0.0012315783998928965
13,13312,229.09999999999908,26.371134090423585,-0.00565995485521853
14,14336,236.06666666666564,25.67395372390747,-0.0043757327133789655
15,15360,256.56666666666547,24.845833015441894,-0.005638021510094404
16,16384,233.599999999999,25.869935607910158,-0.0023945435299538077
17,17408,217.8999999999991,24.79624447822571,-0.0046871737693436446
18,18432,217.89999999999912,22.465776872634887,-0.0012761542457155883
19,19456,217.89999999999912,22.787488555908205,-0.004195036517921835
20,20480,217.89999999999912,21.251132249832153,-0.0015858509228564798
21,21504,217.89999999999912,22.173658084869384,-0.0032904331805184484
22,22528,217.89999999999912,20.271486139297487,-0.005527576338499785
23,23552,228.399999999999,26.425672483444213,-0.0009617302799597383
24,24576,240.1666666666656,19.51458885669708,-0.006732652243226766
25,25600,244.09999999999891,21.723255968093873,-0.0012234148452989757
26,26624,244.09999999999891,18.959748721122743,-0.0021102335304021835
27,27648,220.19999999999905,28.829810237884523,-0.0018576720263808965
28,28672,209.69999999999914,22.159386730194093,-0.0035139866406098006
29,29696,198.16666666666583,26.583171081542968,-0.0023449625936336816
30,30720,208.66666666666578,22.399541068077088,-0.0021788285463117062
31,31744,208.66666666666578,18.36552667617798,-0.0018306853831745683
32,32768,208.66666666666578,23.178284287452698,-0.002401370252482593
33,33792,221.0333333333324,23.48210165500641,-0.005567480134777725
34,34816,225.6333333333324,23.95113718509674,-0.003786218271125108
35,35840,224.79999999999905,29.139639472961427,-0.002173970593139529
36,36864,223.69999999999908,25.018068408966066,-0.0030177638633176684
37,37888,188.86666666666594,44.74205260276794,-0.0028158847941085695
38,38912,188.86666666666594,19.257668471336366,-0.003352325514424592
39,39936,176.63333333333267,32.18305230140686,-0.0022731734090484677
40,40960,195.33333333333252,19.237229347229004,-0.0022145478986203672
41,41984,207.49999999999915,26.3635085105896,-0.003650490613654256
42,43008,207.49999999999915,19.676713168621063,-0.0024143194663338364
43,44032,222.1333333333324,35.28927884101868,-0.0065174568211659786
44,45056,232.89999999999895,20.173012375831604,-0.004192673426587135
45,46080,232.23333333333227,35.542082977294925,-0.006108463369309902
46,47104,232.2333333333323,20.478498697280884,-0.0021054778713732957
47,48128,244.46666666666556,28.87792317867279,-0.0030450735241174696
48,49152,244.46666666666556,20.883945989608765,-0.0010732459602877497
49,50176,244.46666666666556,29.880787086486816,-0.0024660547962412236
50,51200,244.46666666666556,21.37992842197418,-0.003364441345911473
51,52224,253.79999999999882,30.773809003829957,-0.0011319107608869672
52,53248,266.66666666666544,31.167846965789796,6.80087716318667e-05
53,54272,266.66666666666544,21.959588599205016,0.00011583049781620503
54,55296,266.66666666666544,31.75939393043518,-0.002024638652801514
55,56320,266.66666666666544,22.2943067073822,-0.002928081783466041
56,57344,266.66666666666544,32.34722311496735,-0.004137684917077422
57,58368,266.66666666666544,22.557113003730773,-0.0023376138997264206
58,59392,258.03333333333217,42.9270740032196,-0.001033640862442553
59,60416,258.03333333333217,22.671643996238707,-0.002209753089118749
60,61440,258.03333333333217,32.794680976867674,-0.0032602385384961964
61,62464,258.03333333333217,22.818466329574584,-0.0002617792459204793
62,63488,258.03333333333217,33.146296095848086,-0.0012185553554445506
63,64512,258.03333333333217,22.975453472137453,-0.004509951215004549
64,65536,258.03333333333217,33.397808933258055,-0.003544717701151967
65,66560,245.46666666666556,33.36914057731629,-0.0010658643441274762
66,67584,254.09999999999883,33.31656391620636,-0.007891850196756423
67,68608,254.09999999999883,33.2034068107605,-0.0017629546928219497
68,69632,241.63333333333222,33.32343544960022,-0.0009970379760488868
69,70656,241.63333333333225,33.068364357948305,-0.0014423993299715221
70,71680,230.86666666666565,33.30822036266327,-0.000990144396200776
71,72704,230.86666666666565,32.913244533538816,-0.0015224777278490364
72,73728,230.799999999999,32.795830726623535,-0.0012858450994826854
73,74752,220.4333333333324,33.04914245605469,-0.0029448151122778653
74,75776,222.1666666666657,42.77969312667847,-0.0037871281849220393
75,76800,222.1666666666657,22.66391701698303,-0.0007992526050657033
76,77824,232.9333333333323,32.60960683822632,-0.003410759987309575
77,78848,232.9333333333323,22.74333498477936,-0.002739953272975981
78,79872,221.6666666666657,43.08611397743225,-0.00039923032745718955
79,80896,234.29999999999896,22.799409914016724,-0.004082687851041556
80,81920,244.66666666666555,32.882109022140504,-0.0025937868980690838
81,82944,244.66666666666555,22.871823525428773,-0.002128398488275707
82,83968,243.46666666666556,40.131318593025206,-0.0035958768567070365
83,84992,243.46666666666556,22.941898894309997,-0.0011845886474475265
84,86016,231.2333333333323,46.60365471839905,-0.0008716500247828663
85,87040,231.2333333333323,22.970396900177,-0.0014398655970580877
86,88064,231.2333333333323,33.11930799484253,-0.002688491949811578
87,89088,219.0333333333324,33.42428455352783,-0.0017496456275694072
88,90112,218.36666666666574,43.20023427009583,-0.0015292833908461035
89,91136,218.3666666666657,22.964715719223022,-0.0009715568739920855
90,92160,229.16666666666566,31.75103368759155,-0.0009793275385163724
91,93184,229.99999999999895,33.4116229057312,-0.0006834033876657486
92,94208,217.73333333333238,41.32214150428772,-0.00011365029495209455
93,95232,229.9333333333323,33.033888173103335,-0.0001507721724919975
94,96256,229.9333333333323,22.971274757385252,-8.159196004271507e-05
95,97280,242.53333333333225,32.99221973419189,-0.00011514309444464743
96,98304,242.53333333333225,22.997969126701356,-0.0001716470462270081
97,99328,242.53333333333225,33.010003662109376,-0.00017657771240919828
