step,avg_reward,loss,epsilon
99,65.33333333333324,0.0,1.0
157,51.66666666666662,0.0,1.0
203,44.44444444444442,0.0,1.0
233,38.16666666666665,0.0,1.0
245,31.99999999999999,0.0,1.0
260,28.222222222222214,0.5377326607704163,0.9752487531218751
287,26.66666666666666,0.4243951439857483,0.851801859600347
297,24.083333333333325,0.3760524392127991,0.810157377815473
337,24.29629629629629,0.20287922024726868,0.6629680834613705
360,23.333333333333325,0.10737811028957367,0.5907768628656763
383,22.545454545454536,0.05138150602579117,0.5264466124450268
434,23.44444444444444,0.011715946719050407,0.40769130904675194
518,25.897435897435887,0.014653889462351799,0.26759021970270175
528,24.476190476190464,0.019311286509037018,0.25450776877280124
633,27.46666666666665,0.011514727957546711,0.15035730121053842
1033,42.416666666666586,0.00145623623393476,0.049911691230058335
1433,55.607843137254754,0.03232172131538391,0.049911691230058335
1833,67.33333333333313,0.06493940949440002,0.049911691230058335
2186,76.14035087719273,0.03923944756388664,0.049911691230058335
2443,80.86666666666642,0.07420242577791214,0.049911691230058335
2455,77.96666666666641,0.09881672263145447,0.049911691230058335
2855,89.39999999999968,0.050754986703395844,0.049911691230058335
3255,101.23333333333296,0.05150937661528587,0.049911691230058335
3655,113.5999999999996,0.18658068776130676,0.049911691230058335
3684,114.16666666666625,0.18331843614578247,0.049911691230058335
4084,127.03333333333285,0.16602736711502075,0.049911691230058335
4214,130.46666666666619,0.003706329967826605,0.049911691230058335
4614,143.4999999999995,0.005057272966951132,0.049911691230058335
5014,155.53333333333273,0.004939752630889416,0.049911691230058335
5414,168.1333333333327,0.16454753279685974,0.049911691230058335
5428,167.83333333333266,0.44082537293434143,0.049911691230058335
5828,179.4999999999993,0.007310543209314346,0.049911691230058335
6228,190.0666666666659,0.3931067883968353,0.049911691230058335
6628,203.09999999999917,0.6245625615119934,0.049911691230058335
7028,212.9666666666658,0.5271090865135193,0.049911691230058335
7428,212.9666666666658,0.9667507410049438,0.049911691230058335
7828,212.9666666666658,0.5863600969314575,0.049911691230058335
8228,212.9666666666658,0.013640963472425938,0.049911691230058335
8412,207.33333333333252,0.3738608956336975,0.049911691230058335
8812,212.13333333333247,0.3392459750175476,0.049911691230058335
9076,220.53333333333245,0.0157189778983593,0.049911691230058335
9476,220.53333333333245,0.42516449093818665,0.049911691230058335
9876,220.53333333333245,0.016706299036741257,0.049911691230058335
10276,220.53333333333245,0.5851876139640808,0.049911691230058335
10676,232.9333333333324,1.0350871086120605,0.049911691230058335
10776,222.89999999999912,0.5898261666297913,0.049911691230058335
10862,221.43333333333248,0.012645811773836613,0.049911691230058335
11262,221.43333333333243,0.7429261803627014,0.049911691230058335
11391,212.36666666666582,1.0391439199447632,0.049911691230058335
11791,212.36666666666582,0.7046266198158264,0.049911691230058335
12191,225.26666666666574,1.562422752380371,0.049911691230058335
12299,215.49999999999915,1.3953568935394287,0.049911691230058335
12461,207.53333333333256,0.01605473831295967,0.049911691230058335
