update,step,avg_reward,value_loss,policy_loss
1,1024,29.300000000000004,21.73176267147064,-0.006430137041024864
2,2048,33.59999999999998,21.63896155357361,-0.005703059141524136
3,3072,52.09999999999992,34.59944167137146,-0.007226183183956891
4,4096,65.0666666666666,29.465007734298705,-0.004187143896706403
5,5120,69.43333333333327,33.326834201812744,-0.0025262596318498254
6,6144,98.56666666666645,34.39842462539673,-0.004094047436956317
7,7168,111.23333333333298,34.0322699546814,-0.0027620224514976143
8,8192,134.23333333333292,29.423153829574584,-0.006845465092919767
9,9216,169.86666666666605,30.33755521774292,-0.000981432490516454
10,10240,187.16666666666598,29.427708435058594,-0.0043082419782876965
11,11264,200.79999999999922,28.146820163726808,-0.0008643056149594486
12,12288,164.36666666666608,27.439362573623658,-0.0031868850463069977
13,13312,149.16666666666612,27.156310892105104,-0.011712508101481944
14,14336,138.5666666666662,25.699490451812743,-0.005895023036282509
15,15360,145.8333333333328,24.81174955368042,-0.004403036180883646
16,16384,138.03333333333285,26.06368794441223,-0.0019813074846751987
17,17408,159.33333333333275,23.169071388244628,-0.011267387424595654
18,18432,194.9333333333326,23.12976403236389,-0.0032370944856666027
19,19456,205.93333333333254,21.74324960708618,-0.0007565303472802043
20,20480,221.1333333333324,22.587278509140013,-0.006479959841817618
21,21504,232.66666666666566,22.527779722213744,-0.003268500789999962
22,22528,232.66666666666566,20.208658027648926,-0.0049151495448313655
23,23552,232.56666666666564,24.73830642700195,-0.0037903226795606313
24,24576,231.36666666666565,24.40516927242279,-0.005324239376932383
25,25600,231.36666666666565,19.167967510223388,-0.0036114239366725085
26,26624,219.43333333333248,25.072386503219604,-0.0066896068048663436
27,27648,192.16666666666595,25.875859880447386,-0.004853159154299647
28,28672,194.4333333333326,22.353311419487,-0.006285445019602776
29,29696,170.09999999999937,38.78403797149658,-0.006667004257906228
30,30720,129.33333333333292,35.20436325073242,-0.00466511967824772
31,31744,126.06666666666631,31.79396548271179,-0.0010116011137142778
32,32768,121.99999999999962,27.93632855415344,-0.001070697547402233
33,33792,134.59999999999954,28.149412870407104,-0.000986532331444323
34,34816,149.5999999999995,23.717427110672,-0.0009294951101765037
35,35840,181.99999999999937,24.345750761032104,-0.000699163053650409
36,36864,174.46666666666607,30.235643577575683,-0.001819563563913107
37,37888,194.3333333333326,24.97526285648346,-0.0025325756403617563
