Episode,Noise_Scale,Reward_MarketMaker,Reward_Conservative,Reward_Aggressive
97,0.8800,-30613.60,-9145.00,4640.40
98,0.8788,-20837.50,-600.00,-10650.00
99,0.8775,-26056.72,-6980.00,-2210.00
100,0.8762,-25587.90,9565.00,-20840.00
101,0.8750,-4597.40,-25585.72,-7740.00
102,0.8738,-29792.70,11030.00,-22200.00
103,0.8725,-39033.64,22286.50,-21930.00
104,0.8712,-33801.72,-25004.55,18790.62
105,0.8700,-29901.40,-22320.00,11100.00
106,0.8688,-23454.60,2540.40,-13770.00
107,0.8675,-33740.60,10560.00,-12000.00
108,0.8662,-28188.30,-1560.00,-9690.00
109,0.8650,-46362.40,6900.00,7770.00
110,0.8638,-28610.30,10925.00,-22210.00
111,0.8625,-30150.71,-21749.64,11100.00
112,0.8612,-29863.50,-19135.00,11090.00
113,0.8600,-22090.60,10845.00,-22080.00
114,0.8588,-23172.00,10900.00,-21300.00
115,0.8575,-24313.20,-21520.00,10370.00
116,0.8562,-25770.70,-4325.52,-6920.00
117,0.8550,-25769.20,-21860.00,10530.00
118,0.8538,-39325.18,-10467.70,10860.00
119,0.8525,-25427.40,-22335.00,11090.00
120,0.8513,-28030.10,-22341.40,11100.00
121,0.8500,-23287.00,10580.00,-21820.00
122,0.8488,-31080.23,-35943.74,31897.50
123,0.8475,-27505.60,6860.00,-17860.00
124,0.8462,-28208.90,10605.00,-21820.00
125,0.8450,-18214.58,5595.00,-15070.00
126,0.8438,-22264.92,-14591.26,-440.00
127,0.8425,-23107.10,9115.00,-20120.00
128,0.8413,-26134.08,10985.00,-23398.42
129,0.8400,-26111.50,-22350.00,11110.00
130,0.8387,-21259.10,-20965.00,10920.00
131,0.8375,-24361.34,-22810.00,7252.00
132,0.8362,-26524.60,-11620.00,3200.00
133,0.8350,-29778.50,-22270.00,11100.00
134,0.8337,-28300.00,-1551.66,-9700.00
135,0.8325,-24803.80,-21571.08,10290.00
136,0.8313,-34331.56,-10573.32,10395.84
137,0.8300,-24939.40,10578.20,-21790.00
138,0.8287,-37532.45,22279.31,-17306.70
139,0.8275,-27119.10,10950.00,-22190.00
140,0.8263,-18192.50,-22295.00,11100.00
141,0.8250,-25956.00,10955.00,-22690.00
142,0.8237,-35848.39,-15765.50,11100.00
143,0.8225,-24970.50,9155.00,-20400.00
144,0.8213,-27136.10,-21520.40,10250.00
145,0.8200,-29102.50,-22357.04,11100.00
146,0.8187,-47907.94,-663.80,11110.00
147,0.8175,-26261.10,5860.00,-17130.00
148,0.8163,-13027.52,-19345.80,2240.00
149,0.8150,-14405.91,-3610.00,-21018.00
150,0.8137,-27017.40,8675.00,-19869.50
151,0.8125,-29301.10,-8313.84,-2990.00
152,0.8113,-29252.60,-22440.00,11100.00
153,0.8100,-39624.40,-10667.50,11100.00
154,0.8087,-42163.38,-7510.00,11050.00
155,0.8075,-21105.60,8330.00,-19580.00
156,0.8063,-24473.90,-40387.82,29090.00
157,0.8050,-30941.70,-22315.00,11100.00
158,0.8037,-21218.40,-30000.50,10790.00
159,0.8025,-17426.88,17819.17,-33069.12
160,0.8013,-24718.30,-3055.00,-8210.00
161,0.8000,-21033.38,-19471.15,1743.21
162,0.7987,-20009.76,5349.76,-21910.00
163,0.7975,-27483.00,-22110.00,10860.00
164,0.7963,-27735.10,11050.00,-22210.00
165,0.7950,-16051.70,-16507.24,-3041.70
166,0.7937,-27792.70,-20865.00,9620.00
167,0.7925,-30752.72,-10786.02,9282.00
168,0.7913,-28211.40,-14306.21,4030.00
169,0.7900,-28852.10,10995.00,-22150.00
170,0.7888,-24473.40,-21782.31,10570.00
171,0.7875,-28396.70,10985.00,-22190.00
172,0.7863,-39479.70,3502.50,-3073.40
173,0.7850,-39813.58,-429.40,290.32
174,0.7837,-31656.40,10895.00,-14220.00
175,0.7825,-17452.80,-13154.67,-9778.50
176,0.7812,-24846.60,-22240.00,11100.00
177,0.7800,-21809.40,10930.00,-22110.00
178,0.7788,-11018.14,13057.44,-42910.00
179,0.7775,-30352.15,10960.00,-22630.00
180,0.7762,-34980.50,8800.00,-4560.00
181,0.7750,-22712.80,-22455.00,11159.75
182,0.7737,-22252.90,-3815.00,-7720.00
183,0.7725,-30782.90,-18453.08,11100.00
184,0.7712,-29281.70,-18065.00,6830.00
185,0.7700,-29046.20,-18540.00,10500.00
186,0.7688,-45882.08,11005.00,-4662.18
187,0.7675,-29965.30,9941.09,-20530.92
188,0.7662,-26336.40,-125.00,-11100.00
189,0.7650,-29686.60,-22340.00,11100.00
190,0.7638,-25513.30,-14190.00,3590.00
191,0.7625,-22846.42,3650.92,-20177.74
192,0.7612,-38699.50,3854.66,-5170.00
193,0.7600,-19528.78,-24581.75,5470.00
194,0.7588,-29130.70,-6585.00,-4610.00
195,0.7575,-23308.20,11005.00,-22540.00
196,0.7562,-30837.90,11357.60,-22600.00
197,0.7550,-28529.20,-22235.00,10990.00
198,0.7538,-26518.50,-8970.00,-2300.00
199,0.7525,-28848.30,-20645.00,9370.00
200,0.7512,-10976.43,-10086.48,-18100.00
201,0.7500,-28895.46,-22450.00,11100.00
202,0.7488,-48337.60,10405.00,-580.00
203,0.7475,-29082.10,-22147.00,11090.00
204,0.7463,-30060.50,11020.00,-22190.00
205,0.7450,-27921.30,-22402.12,11100.00
206,0.7438,-25695.50,-22305.00,11100.00
207,0.7425,-21361.50,3685.00,-14980.00
208,0.7412,-28218.80,6080.00,-17325.76
209,0.7400,-29520.06,-8685.00,-2810.00
210,0.7388,-27490.20,-11275.00,30.00
211,0.7375,-24743.06,-21245.00,10310.00
212,0.7363,-22883.00,-21830.00,10580.00
213,0.7350,-27336.10,-21515.00,10240.00
214,0.7338,-20217.50,-9920.00,-1340.00
215,0.7325,-28939.30,-22310.00,11090.00
216,0.7312,-26028.90,-22315.00,11100.00
217,0.7300,-24541.92,-16508.50,2550.00
218,0.7288,-40323.70,22124.50,-21770.00
219,0.7275,-34113.60,11025.00,-16550.00
220,0.7263,-28420.94,-20265.00,8690.00
221,0.7250,-28612.00,8225.00,-19480.00
222,0.7238,-27201.90,4605.41,-15881.57
223,0.7225,-29193.40,-22351.92,11100.00
224,0.7212,-28953.80,-21900.00,10820.00
225,0.7200,-21177.10,-2607.80,-17910.00
226,0.7188,-30022.30,-22310.00,11100.00
227,0.7175,-28874.20,1838.20,-13060.00
228,0.7163,-27479.80,-21840.00,10630.00
229,0.7150,-29403.90,-22260.00,11070.00
230,0.7137,-27309.40,-12730.00,1400.00
231,0.7125,-18884.10,9773.08,-21040.00
232,0.7112,-36708.26,988.00,11445.00
233,0.7100,-46766.60,9440.00,-1290.00
234,0.7087,-30401.80,11351.46,-22520.00
235,0.7075,-27874.00,-21915.00,10710.00
236,0.7063,-26662.40,1210.00,-12460.00
237,0.7050,-29458.70,6819.45,-18070.00
238,0.7037,-27075.70,-8566.54,-2680.00
239,0.7025,-29122.20,-21752.66,10540.00
240,0.7012,-26028.00,-22225.00,11100.00
241,0.7000,-24600.40,10970.00,-22160.00
242,0.6987,-21949.20,-22140.00,10960.00
243,0.6975,-27986.28,-16740.00,5320.00
244,0.6963,-25929.70,-22330.00,11100.00
245,0.6950,-30544.90,-22314.38,11100.00
246,0.6937,-25600.80,-11074.36,420.00
247,0.6925,-28019.50,-22030.00,11030.00
248,0.6912,-39656.40,21834.50,-22210.00
249,0.6900,-25987.30,-8840.00,-2420.00
250,0.6887,-29096.00,8210.00,-19240.00
251,0.6875,-30428.80,11107.65,-22290.00
252,0.6863,-17800.00,-17153.00,-1850.00
253,0.6850,-21922.80,11155.40,-22410.00
254,0.6838,-28490.56,9610.00,-20960.00
255,0.6825,-24552.30,4011.60,-18130.00
256,0.6813,-27420.80,3815.00,-15000.00
257,0.6800,-24539.90,10660.00,-21900.00
258,0.6787,-30347.00,-22280.00,11090.00
259,0.6775,-27910.41,10995.00,-22640.00
260,0.6763,-13199.20,-6300.00,-23959.38
261,0.6750,-29746.28,-22815.00,11100.00
262,0.6738,-30798.10,-13993.50,2790.00
263,0.6725,-29338.70,-12245.00,1060.00
264,0.6713,-27722.80,-9555.00,-1640.00
265,0.6700,-27048.40,-11318.74,70.00
266,0.6687,-28367.40,1765.00,-12970.00
267,0.6675,-33300.20,-12435.10,12443.41
268,0.6663,-27991.70,-22315.00,11100.00
269,0.6650,-27002.20,-12235.00,1050.00
270,0.6638,-26218.03,6500.00,-18030.00
271,0.6625,-30829.60,-22271.40,11090.00
272,0.6613,-27991.80,-10975.06,-250.00
273,0.6600,-26891.50,8057.90,-19230.00
274,0.6587,-28024.00,-11970.00,780.00
275,0.6575,-28061.18,-5965.00,-5760.00
276,0.6562,-30956.10,11025.00,-22200.00
277,0.6550,-27849.00,-9805.00,-1420.00
278,0.6538,-26260.90,-4215.00,-6970.00
279,0.6525,-2123.10,2050.00,-29582.12
280,0.6512,-27202.04,1980.00,-13440.00
281,0.6500,-28283.00,-9900.00,-1300.00
282,0.6487,-30177.60,-18755.00,7570.00
283,0.6475,-27789.30,-7725.00,-3490.00
284,0.6462,-25058.00,-1495.00,-9680.00
285,0.6450,-24703.90,-14180.00,2980.00
286,0.6438,-29241.10,10935.00,-22160.00
287,0.6425,-29330.90,-6336.12,-4900.00
288,0.6412,-28058.00,-20408.25,10870.00
289,0.6400,-30260.40,-22625.00,11100.00
290,0.6387,-29646.90,-10219.76,-940.00
291,0.6375,-29789.50,-18930.00,7730.00
292,0.6362,-27498.50,5275.00,-16430.00
293,0.6350,-28957.90,10792.63,-22030.00
294,0.6338,-30026.70,-10900.38,-230.00
295,0.6325,-18027.70,-9350.00,-1670.00
296,0.6312,-28151.80,-22222.55,10940.00
297,0.6300,-28473.70,-2488.72,-8710.00
298,0.6287,-32315.45,-12639.00,11060.00
299,0.6275,-29182.42,-32143.50,20461.41
300,0.6262,-27239.10,-9535.00,-1640.00
301,0.6250,-29143.20,8465.00,-19670.00
302,0.6238,-23759.16,-8355.00,-3310.00
303,0.6225,-40033.10,7514.90,-520.00
304,0.6213,-26679.06,-11030.00,-420.00
305,0.6200,-25228.00,-7565.00,-3620.00
306,0.6188,-28276.90,1165.00,-12380.00
307,0.6175,-26991.64,-10745.00,-550.00
308,0.6162,-39897.94,10135.00,-10141.56
309,0.6150,-25241.20,140.00,-11340.00
310,0.6138,-37546.30,-14820.14,15582.00
311,0.6125,-40397.50,-12317.50,12707.42
312,0.6113,-30442.10,11464.30,-22670.00
313,0.6100,-23434.40,-20512.18,10850.00
314,0.6088,-26687.39,-23325.99,12946.83
315,0.6075,-27490.30,-9235.00,-1950.00
316,0.6062,-17799.31,-26418.38,7320.00
317,0.6050,-23708.15,-10700.00,-940.00
318,0.6038,-30349.50,-17430.00,6250.00
319,0.6025,-40247.70,-12745.00,11768.10
320,0.6013,-18597.80,-10355.00,-870.00
321,0.6000,-30601.00,-18415.00,7250.00
322,0.5988,-29310.70,9835.00,-21000.00
323,0.5975,-35594.80,8305.00,-10780.00
324,0.5962,-27302.20,8120.00,-19280.00
325,0.5950,-30196.60,8035.00,-16220.00
326,0.5938,-30197.60,10860.00,-22030.00
327,0.5925,-25491.40,8365.00,-19520.00
328,0.5913,-21919.10,9877.55,-19440.00
329,0.5900,-29768.50,-1407.30,-9840.00
330,0.5887,-24804.90,-6567.41,-4650.00
331,0.5875,-30290.60,-22280.00,11100.00
332,0.5862,-8757.22,-36060.00,17640.00
333,0.5850,-28615.77,7240.00,-18680.00
334,0.5837,-26128.80,-16885.00,5690.00
335,0.5825,-27538.60,-11315.00,130.00
336,0.5813,-11492.80,6180.00,-21402.00
337,0.5800,-29526.86,9200.00,-20580.00
338,0.5787,-25483.10,-19414.76,3060.00
339,0.5775,-26292.90,5100.00,-16250.00
340,0.5762,-17117.50,-22060.00,11100.00
341,0.5750,-24969.10,-588.60,-10620.00
342,0.5737,-29502.60,-9100.00,-2050.00
343,0.5725,-27719.50,10115.52,-21370.00
344,0.5713,-24702.10,11033.30,-22220.00
345,0.5700,-36056.98,-7332.95,4726.13
346,0.5687,-25482.40,-545.35,-10580.00
347,0.5675,-21139.50,-9600.00,-1560.00
348,0.5662,-37543.50,-29300.00,26410.00
349,0.5650,-28339.20,-4730.00,-6440.00
350,0.5637,-29768.90,-5257.78,-5980.00
351,0.5625,-28202.20,3225.00,-14400.00
352,0.5613,-26179.00,-19910.00,8740.00
353,0.5600,-29482.80,-17455.00,6310.00
354,0.5588,-37010.70,-980.00,-1900.00
355,0.5575,-19029.80,-1415.00,1380.00
356,0.5563,-29216.60,7221.20,-18430.00
357,0.5550,-26896.50,5545.00,-16720.00
358,0.5537,-28222.16,170.00,-11560.00
359,0.5525,-27467.66,-10265.00,-1230.00
360,0.5513,-23653.90,-8470.00,-2680.00
361,0.5500,-30031.40,8632.32,-19820.00
362,0.5488,-33637.34,7625.00,-12860.00
363,0.5475,-20706.20,560.00,-11550.00
364,0.5463,-29850.60,-6820.00,-4340.00
365,0.5450,-29269.20,-21165.68,9970.00
366,0.5437,-28773.40,9789.22,-21020.00
367,0.5425,-28767.00,7295.00,-18440.00
368,0.5413,-28147.20,-11918.33,760.00
369,0.5400,-18645.30,10115.00,-21290.00
370,0.5388,-23453.81,945.86,-13545.09
371,0.5375,-20826.30,4816.28,-15990.00
372,0.5363,-26450.10,-5620.00,-5500.00
373,0.5350,-23899.80,-470.00,-10660.00
374,0.5337,-34255.70,-14431.20,10250.00
375,0.5325,-26515.50,-2805.00,-8360.00
376,0.5312,-25150.48,10085.00,-21520.00
377,0.5300,-23253.40,-7405.00,-3740.00
378,0.5288,-28234.98,370.00,-11790.00
379,0.5275,-29113.50,-12355.00,1210.00
380,0.5262,-14400.60,-28882.00,7700.00
381,0.5250,-27816.70,2640.00,-13810.00
382,0.5237,-29573.60,-4795.00,-6390.00
383,0.5225,-5441.50,-19623.00,-1185.52
384,0.5212,-27540.50,-8720.00,-2070.00
385,0.5200,-27944.70,-6328.76,-4820.00
386,0.5188,-30238.00,10615.00,-21780.00
387,0.5175,-26779.10,-14725.00,3600.00
388,0.5162,-28899.30,-1170.00,-9980.00
389,0.5150,-26162.10,-6130.00,-4890.00
390,0.5137,-25079.30,-5940.00,-4300.00
391,0.5125,-11045.00,10790.00,-20780.00
392,0.5112,-28534.90,-16160.00,4830.00
393,0.5100,-28717.90,-17225.00,6340.00
394,0.5088,-24232.20,-21575.00,10430.00
395,0.5075,-29571.64,8475.00,-20130.00
396,0.5062,-29650.90,10270.00,-21310.00
397,0.5050,-25774.60,7897.05,-19060.00
398,0.5037,-20080.70,-8520.00,-2640.00
399,0.5025,-15304.20,6540.00,-17200.00
400,0.5012,-34814.40,17707.58,-20720.00
401,0.5000,-28739.90,-2525.00,-8630.00
402,0.4988,-27742.50,-9310.00,-1830.00
403,0.4975,-22903.30,-4295.00,-4580.00
404,0.4962,-26030.99,-13645.00,2070.00
405,0.4950,-40307.95,8598.26,-8225.31
406,0.4938,-27648.70,2555.00,-13700.00
407,0.4925,-26243.13,2005.00,-13610.00
408,0.4912,-14527.50,7985.00,-17970.00
409,0.4900,-20317.00,-8790.00,-2370.00
410,0.4888,-20596.30,-9605.00,-1520.00
411,0.4875,-21598.40,-2445.00,-7570.00
412,0.4862,-26460.52,-1700.00,-9600.00
413,0.4850,-27471.40,-9570.00,-1580.00
414,0.4838,-21095.60,4305.00,-14280.00
415,0.4825,-21401.40,-13040.00,1920.00
416,0.4812,-30057.90,-30.00,-11110.00
417,0.4800,-23741.40,-2281.84,-8710.00
418,0.4788,-26705.50,-16900.00,5880.00
419,0.4775,-29883.00,-20130.00,8750.00
420,0.4762,-27094.60,-3310.00,-7805.84
421,0.4750,-22721.80,-10735.00,1930.00
422,0.4738,-26235.60,-20170.00,9060.00
423,0.4725,-21011.60,-9215.00,-1810.00
424,0.4712,-18841.85,-9686.13,-10420.00
425,0.4700,-24381.70,4285.00,-15420.00
426,0.4688,-20000.00,2035.00,-2040.00
427,0.4675,-27370.40,-11490.00,1490.00
428,0.4663,-23980.00,2065.00,-12070.00
429,0.4650,-19903.80,-18035.89,6980.00
430,0.4637,-23859.70,2620.00,-13760.00
431,0.4625,-13571.20,8745.00,-16600.00
432,0.4613,-21745.90,-6595.00,-4420.00
433,0.4600,-25332.30,-8365.00,-2310.00
434,0.4587,-17910.50,-5285.46,-4730.00
435,0.4575,-24508.40,-15185.00,4370.00
436,0.4563,-23055.60,-7305.00,-3570.00
437,0.4550,-18401.20,5460.00,-16480.00
438,0.4537,-21014.00,-9760.00,-1050.00
439,0.4525,-23577.80,3635.00,-14720.00
440,0.4513,-26805.50,-8700.00,-2430.00
441,0.4500,-20000.00,3670.00,-3700.00
442,0.4487,-27661.50,-1215.00,-8760.00
443,0.4475,-14211.60,6145.00,-16150.00
444,0.4463,-16068.00,-5865.00,-4800.00
445,0.4450,-27361.34,-9885.00,-1630.00
446,0.4437,-28226.50,-6203.68,-4920.00
447,0.4425,-29758.90,-16655.00,5550.00
448,0.4413,-11967.90,-15065.00,4620.00
449,0.4400,-27009.30,10130.00,-21130.00
450,0.4387,-24401.60,8770.00,-17960.00
451,0.4375,-29309.92,-17580.00,6230.00
452,0.4363,-21704.00,-8600.00,-1570.00
453,0.4350,-20666.54,293.64,-18668.96
454,0.4337,-21935.10,-9740.00,-240.00
455,0.4325,-40397.50,392.50,90.00
456,0.4313,-20000.00,5310.00,-5320.00
457,0.4300,-26828.10,-18130.00,7020.00
458,0.4287,-19283.20,395.00,-430.00
459,0.4275,-16119.50,-7663.76,-2320.00
460,0.4263,-11994.80,-265.00,-10400.00
461,0.4250,-21992.00,865.00,-10850.00
462,0.4237,-22605.60,9955.00,-21040.00
463,0.4225,-10836.80,-13289.36,3290.00
464,0.4213,-20000.00,-4665.00,4660.00
465,0.4200,-20613.60,10205.00,-20970.00
466,0.4187,-22982.40,-12190.00,1490.00
467,0.4175,-16295.00,8340.87,-15770.00
468,0.4163,-16115.50,3005.00,-13670.00
469,0.4150,-24860.20,-15080.00,4020.00
470,0.4137,-10945.50,-4070.00,-5900.00
471,0.4125,-24215.30,-16335.00,5220.00
472,0.4113,-12906.68,2270.00,-12360.00
473,0.4100,-29431.80,-1380.00,-9390.00
474,0.4087,-17694.50,-2990.80,-4990.00
475,0.4075,-28706.20,-18895.00,7800.00
476,0.4062,-21460.30,-17040.00,8440.00
477,0.4050,-28714.80,-12260.00,1170.00
478,0.4038,-14311.40,-3165.00,-6867.52
479,0.4025,-20000.00,8907.84,-8960.00
480,0.4012,-12581.90,-7880.00,-1520.00
481,0.4000,-23184.00,-16115.75,6140.00
482,0.3988,-23513.10,7100.00,-17160.00
483,0.3975,-26963.00,-9995.00,-630.00
484,0.3962,-20000.00,-300.00,280.00
485,0.3950,-20000.00,-6175.00,6160.00
486,0.3938,-19296.08,-3680.00,-4210.00
487,0.3925,-20000.00,-1350.00,1270.00
488,0.3912,-20000.00,5672.15,-5670.00
489,0.3900,-23681.50,660.00,-10630.00
490,0.3888,-29697.50,-16425.84,5530.00
491,0.3875,-21760.80,3669.03,-14770.00
492,0.3862,-20000.00,-1955.00,1940.00
493,0.3850,-20000.00,529.20,-600.00
494,0.3838,-20000.00,0.00,0.00
495,0.3825,-21387.20,-12510.00,1670.00
496,0.3812,-20000.00,-7615.00,7600.00
497,0.3800,-22407.60,-10010.00,740.00
498,0.3788,-16626.00,957.72,-10630.00
499,0.3775,-28147.10,-11595.00,710.00
500,0.3762,-20000.00,990.00,-1000.00
501,0.3750,-20000.00,0.00,0.00
502,0.3738,-20000.00,202.16,-190.00
503,0.3725,-20000.00,-6755.00,6750.00
504,0.3712,-12690.00,-6025.00,-2480.00
505,0.3700,-24185.50,-2070.00,-5560.00
506,0.3688,-22587.00,-1830.00,-8130.00
507,0.3675,-20000.00,-6935.00,6930.00
508,0.3662,-20000.00,-160.00,150.00
509,0.3650,-27704.90,-11665.00,760.00
510,0.3638,-23781.00,-12420.00,2460.00
511,0.3625,-22811.80,-2210.00,-8890.00
512,0.3612,-11144.50,-7665.00,-2290.00
513,0.3600,-20000.00,-4129.69,4080.00
514,0.3588,-10746.50,-4095.00,-5860.00
515,0.3575,-20000.00,3815.00,-3820.00
516,0.3562,-19371.50,0.00,0.00
517,0.3550,-20000.00,4195.00,-4200.00
518,0.3538,-12698.20,-7895.00,-3100.00
519,0.3525,-20283.60,-2420.00,-8580.00
520,0.3512,-19613.54,7095.00,-7100.00
521,0.3500,-20000.00,0.00,0.00
522,0.3488,-20532.40,1352.95,-12380.00
523,0.3475,-26913.60,4390.00,-15400.00
524,0.3462,-22686.50,-3918.34,-6060.00
525,0.3450,-25162.90,-15151.23,5330.00
526,0.3438,-20000.00,0.00,0.00
527,0.3425,-20000.00,9085.00,-9090.00
528,0.3413,-17413.00,-8702.40,-1300.00
529,0.3400,-20000.00,-0.68,0.00
530,0.3387,-13788.64,-10370.00,3600.00
531,0.3375,-20000.00,0.00,0.00
532,0.3363,-20000.00,3985.00,-3990.00
533,0.3350,-20000.00,0.00,0.00
534,0.3337,-11334.80,-5125.00,-4840.00
535,0.3325,-20000.00,0.00,0.00
536,0.3313,-20000.00,-2695.00,2690.00
537,0.3300,-20000.00,-6194.74,6120.00
538,0.3287,-20000.00,0.00,0.00
539,0.3275,-29571.90,-10580.00,-420.00
540,0.3263,-12521.70,-4205.00,-4810.00
541,0.3250,-19147.07,0.00,0.00
542,0.3237,-20000.00,0.00,0.00
543,0.3225,-20000.00,-5.33,0.00
544,0.3213,-29371.80,-15074.49,5040.00
545,0.3200,-20181.76,3930.00,-14210.00
546,0.3187,-20000.00,-36.50,0.00
547,0.3175,-19565.09,5425.00,-5430.00
548,0.3163,-20000.00,1765.72,-1800.00
549,0.3150,-20000.00,4735.00,-4740.00
550,0.3137,-20000.00,6.70,0.00
551,0.3125,-19758.99,-6515.00,6510.00
552,0.3113,-20000.00,0.00,0.00
553,0.3100,-20000.00,4769.02,-4790.00
554,0.3087,-20000.00,-2.52,0.00
555,0.3075,-20000.00,0.00,0.00
556,0.3063,-20000.00,-13.68,0.00
557,0.3050,-20000.00,0.00,0.00
558,0.3037,-20000.00,0.00,0.00
559,0.3025,-20000.00,0.00,0.00
560,0.3013,-19274.99,0.00,0.00
561,0.3000,-19231.05,-4325.00,4320.00
562,0.2987,-20000.00,0.00,0.00
563,0.2975,-20000.00,-61.58,0.00
564,0.2963,-20000.00,-39.78,0.00
565,0.2950,-20000.00,0.00,0.00
566,0.2937,-20000.00,0.00,0.00
567,0.2925,-20000.00,0.00,0.00
568,0.2913,-19672.00,0.00,0.00
569,0.2900,-20000.00,0.00,0.00
570,0.2887,-20000.00,-9.50,0.00
571,0.2875,-20000.00,0.00,0.00
572,0.2863,-20000.00,-13.40,0.00
573,0.2850,-20000.00,0.00,0.00
574,0.2837,-20000.00,0.00,0.00
575,0.2825,-20000.00,0.00,0.00
576,0.2812,-20000.00,-39.58,0.00
577,0.2800,-20000.00,0.00,0.00
578,0.2788,-20000.00,-57.82,0.00
579,0.2775,-19031.33,0.00,0.00
580,0.2762,-19446.20,0.00,0.00
581,0.2750,-19211.12,0.00,0.00
582,0.2738,-20000.00,0.00,0.00
