Episode,Noise_Scale,Reward_MarketMaker,Reward_Conservative,Reward_Aggressive
1,1.0000,-41401.86,-5647.29,7279.17
2,0.9988,-25264.69,1976.44,-16950.30
3,0.9975,-49386.39,31911.15,-19695.80
4,0.9962,6559.48,-25827.54,-5926.74
5,0.9950,-3984.12,398.40,-19685.00
6,0.9938,19519.03,-14797.86,-18609.98
7,0.9925,41366.31,-49992.52,-18835.34
8,0.9912,128739.47,-117026.22,-47180.80
9,0.9900,105861.25,-113529.28,-23674.79
10,0.9888,153944.92,-112881.10,-80547.91
11,0.9875,15321.22,-40342.82,-18935.65
12,0.9862,-11352.54,-22412.08,-4473.06
13,0.9850,-17644.00,10800.00,-22190.00
14,0.9838,-34943.15,-13088.25,11100.00
15,0.9825,-22390.30,-22378.60,11070.00
16,0.9812,-42663.61,-8404.81,14058.74
17,0.9800,-27007.00,-22430.00,11100.00
18,0.9788,-33290.60,-9620.00,11070.00
19,0.9775,-20519.86,189.29,-14606.17
20,0.9762,-24573.20,-22355.00,11100.00
21,0.9750,-44106.60,10965.00,2910.00
22,0.9738,-22241.60,-2590.00,-8040.00
23,0.9725,-26073.30,-22150.00,11110.00
24,0.9712,-25063.00,10795.00,-21500.00
25,0.9700,-45576.20,-6389.19,16894.50
26,0.9688,-15587.05,2735.05,-22164.00
27,0.9675,-33817.30,-16383.86,7950.00
28,0.9663,-24475.90,-22045.00,11110.00
29,0.9650,-27068.20,10950.00,-22224.05
30,0.9637,-35214.00,-10566.58,10270.00
31,0.9625,-22168.19,10865.00,-24233.39
32,0.9613,-30468.10,10990.00,-21470.00
33,0.9600,-24822.30,-22415.00,11100.00
34,0.9587,-26957.20,-22320.00,11100.00
35,0.9575,-24167.40,-20800.00,9610.00
36,0.9563,-8682.70,-21349.96,-9910.00
37,0.9550,-27917.60,-22315.00,11060.00
38,0.9537,-27102.90,-21245.00,7783.22
39,0.9525,-40272.50,10910.00,-9440.00
40,0.9513,-23761.10,10880.00,-20270.00
41,0.9500,-25300.10,8475.00,-19800.00
42,0.9487,-31671.76,-19392.74,10920.00
43,0.9475,-35952.90,-12475.00,11100.00
44,0.9463,-16871.18,400.48,-22070.00
45,0.9450,-17506.20,-22320.16,11100.00
46,0.9437,-24731.00,-20947.84,9620.00
47,0.9425,-33855.60,-8385.00,10730.00
48,0.9413,-23663.20,-22340.00,11100.00
49,0.9400,-34664.20,-10672.50,11020.00
50,0.9387,-23733.80,9002.80,-20310.00
51,0.9375,-43751.60,7915.00,-3290.00
52,0.9363,-13810.65,-15857.25,-4970.00
53,0.9350,-26361.80,-21581.00,10720.00
54,0.9337,-10768.20,-30314.00,11100.00
55,0.9325,-33043.45,-7452.05,7640.00
56,0.9313,-25219.80,-8610.00,-2680.00
57,0.9300,-24700.70,645.00,-11830.00
58,0.9287,-13234.40,2164.82,-25091.50
59,0.9275,-21758.90,-4720.00,-6560.00
60,0.9263,-29784.26,11000.00,-22170.00
61,0.9250,-23798.10,11040.00,-21950.00
62,0.9237,-26887.60,-22210.00,10940.00
63,0.9225,-25455.50,10840.00,-22050.00
64,0.9213,-50495.70,1995.00,11100.00
65,0.9200,-20960.50,7069.19,-20060.00
66,0.9187,-38678.90,10860.00,-6860.00
67,0.9175,-24355.55,-23845.85,7681.03
68,0.9163,-25089.70,-22265.00,11100.00
69,0.9150,-29451.30,-13835.00,11110.00
70,0.9138,-27050.40,10977.42,-22116.00
71,0.9125,-33629.09,-11535.00,11873.00
72,0.9113,-26259.90,-8985.00,-2280.00
73,0.9100,-23016.41,1920.00,-11580.00
74,0.9087,-31022.77,16250.07,-22190.00
75,0.9075,-30079.90,-12725.00,6690.00
76,0.9062,-17797.08,10820.00,-22500.00
77,0.9050,-20309.70,-4075.00,-14520.00
78,0.9038,-29534.70,10920.00,-15100.00
79,0.9025,-35554.70,-11625.00,11100.00
80,0.9012,-22688.00,10940.00,-22130.00
81,0.9000,-26890.50,-15930.00,4660.00
82,0.8987,-23451.60,10235.00,-21330.00
83,0.8975,-27649.80,-4520.00,-710.00
84,0.8962,-27971.30,-22245.00,10980.00
85,0.8950,-26641.60,-5085.00,-5190.00
86,0.8938,-44315.14,-1765.00,4880.69
87,0.8925,-26919.30,-21680.00,10378.96
88,0.8912,-28488.90,11288.24,-22500.00
89,0.8900,-20408.30,7425.10,-21160.00
90,0.8888,-42294.30,8159.96,-2825.50
91,0.8875,-28517.60,-22325.00,11100.00
92,0.8862,-28214.00,11305.04,-22460.00
93,0.8850,-22686.77,-6426.00,-9856.22
94,0.8838,-19955.80,10990.00,-22190.00
95,0.8825,-22835.90,11128.15,-22310.00
96,0.8812,-28991.50,-22360.00,11090.00
